,open,high,low,close,volume
20231123 05:07:00 Australia/Sydney,455.33,455.33,455.22,455.3,658.28
20231123 05:08:00 Australia/Sydney,455.31,455.35,455.26,455.33,754.97
20231123 05:09:00 Australia/Sydney,455.33,455.36,455.27,455.32,219.41
20231123 05:10:00 Australia/Sydney,455.32,455.33,455.2,455.28,356.79
20231123 05:11:00 Australia/Sydney,455.28,455.35,455.28,455.35,232.09
20231123 05:12:00 Australia/Sydney,455.34,455.36,455.27,455.29,451.65
20231123 05:13:00 Australia/Sydney,455.29,455.47,455.28,455.46,919.89
20231123 05:14:00 Australia/Sydney,455.47,455.54,455.44,455.44,1087.93
20231123 05:15:00 Australia/Sydney,455.45,455.51,455.41,455.42,806.74
20231123 05:16:00 Australia/Sydney,455.41,455.42,455.24,455.26,943.69
20231123 05:17:00 Australia/Sydney,455.25,455.27,455.13,455.18,651.43
20231123 05:18:00 Australia/Sydney,455.18,455.22,455.14,455.21,264.24
20231123 05:19:00 Australia/Sydney,455.21,455.26,455.16,455.21,462.84
20231123 05:20:00 Australia/Sydney,455.21,455.32,455.2,455.29,601.24
20231123 05:21:00 Australia/Sydney,455.29,455.45,455.29,455.43,457.67
20231123 05:22:00 Australia/Sydney,455.43,455.43,455.36,455.42,268.13
20231123 05:23:00 Australia/Sydney,455.41,455.52,455.39,455.5,447.57
20231123 05:24:00 Australia/Sydney,455.5,455.51,455.42,455.46,306.23
20231123 05:25:00 Australia/Sydney,455.46,455.51,455.45,455.49,397.85
20231123 05:26:00 Australia/Sydney,455.48,455.48,455.37,455.44,508.7
20231123 05:27:00 Australia/Sydney,455.44,455.46,455.4,455.44,446.3
20231123 05:28:00 Australia/Sydney,455.44,455.5,455.43,455.45,497.13
20231123 05:29:00 Australia/Sydney,455.45,455.57,455.45,455.55,515.2
20231123 05:30:00 Australia/Sydney,455.55,455.6,455.51,455.56,833.08
20231123 05:31:00 Australia/Sydney,455.57,455.6,455.43,455.44,524.87
20231123 05:32:00 Australia/Sydney,455.45,455.45,455.38,455.39,1407.19
20231123 05:33:00 Australia/Sydney,455.39,455.4,455.31,455.39,472.36
20231123 05:34:00 Australia/Sydney,455.39,455.52,455.38,455.52,424.32
20231123 05:35:00 Australia/Sydney,455.51,455.52,455.39,455.45,462.97
20231123 05:36:00 Australia/Sydney,455.45,455.49,455.38,455.41,443.06
20231123 05:37:00 Australia/Sydney,455.4,455.52,455.4,455.48,308.59
20231123 05:38:00 Australia/Sydney,455.47,455.5,455.36,455.38,325.66
20231123 05:39:00 Australia/Sydney,455.36,455.4,455.34,455.39,485.88
20231123 05:40:00 Australia/Sydney,455.4,455.4,455.34,455.37,619.3
20231123 05:41:00 Australia/Sydney,455.37,455.45,455.32,455.45,1333
20231123 05:42:00 Australia/Sydney,455.44,455.48,455.39,455.4,667.88
20231123 05:43:00 Australia/Sydney,455.4,455.41,455.23,455.25,969.01
20231123 05:44:00 Australia/Sydney,455.24,455.28,455.22,455.28,407.99
20231123 05:45:00 Australia/Sydney,455.28,455.32,455.2,455.32,469.42
20231123 05:46:00 Australia/Sydney,455.32,455.4,455.29,455.4,285.48
20231123 05:47:00 Australia/Sydney,455.4,455.41,455.32,455.35,443.15
20231123 05:48:00 Australia/Sydney,455.34,455.37,455.29,455.32,448.14
20231123 05:49:00 Australia/Sydney,455.33,455.36,455.29,455.33,308.3
20231123 05:50:00 Australia/Sydney,455.33,455.34,455.28,455.33,398.82
20231123 05:51:00 Australia/Sydney,455.32,455.42,455.29,455.42,582.35
20231123 05:52:00 Australia/Sydney,455.42,455.47,455.39,455.45,611.35
20231123 05:53:00 Australia/Sydney,455.45,455.47,455.36,455.36,557.31
20231123 05:54:00 Australia/Sydney,455.37,455.41,455.31,455.31,538.51
